[ 391.0, -31.0, 0.0 ]
[ 391.0, -32.0, 0.0 ]
[ 391.0, -33.0, 0.0 ]
[ 391.0, -34.0, 0.0 ]
[ 391.0, -35.0, 0.0 ]
[ 391.0, -36.0, 0.0 ]
[ 392.0, -37.0, 0.0 ]
[ 392.0, -38.0, 0.0 ]
[ 392.0, -39.0, 0.0 ]
[ 393.0, -40.0, 0.0 ]
[ 393.0, -41.0, 0.0 ]
[ 394.0, -42.0, 0.0 ]
[ 394.0, -43.0, 0.0 ]
[ 395.0, -44.0, 0.0 ]
[ 396.0, -45.0, 0.0 ]
[ 397.0, -46.0, 0.0 ]
[ 398.0, -47.0, 0.0 ]
[ 399.0, -47.0, 0.0 ]
[ 400.0, -48.0, 0.0 ]
[ 401.0, -48.0, 0.0 ]
[ 402.0, -48.0, 0.0 ]
[ 403.0, -49.0, 0.0 ]
[ 404.0, -49.0, 0.0 ]
[ 405.0, -49.0, 0.0 ]
[ 406.0, -49.0, 0.0 ]
[ 407.0, -49.0, 0.0 ]
[ 408.0, -49.0, 0.0 ]
[ 409.0, -49.0, 0.0 ]
[ 410.0, -49.0, 0.0 ]
[ 411.0, -49.0, 0.0 ]
[ 412.0, -49.0, 0.0 ]
[ 413.0, -48.0, 0.0 ]
[ 414.0, -48.0, 0.0 ]
[ 415.0, -48.0, 0.0 ]
[ 416.0, -47.0, 0.0 ]
[ 417.0, -47.0, 0.0 ]
[ 418.0, -46.0, 0.0 ]
[ 419.0, -45.0, 0.0 ]
[ 420.0, -44.0, 0.0 ]
[ 421.0, -43.0, 0.0 ]
[ 422.0, -42.0, 0.0 ]
[ 422.0, -41.0, 0.0 ]
[ 423.0, -40.0, 0.0 ]
[ 423.0, -39.0, 0.0 ]
[ 423.0, -38.0, 0.0 ]
[ 424.0, -37.0, 0.0 ]
[ 424.0, -36.0, 0.0 ]
[ 424.0, -35.0, 0.0 ]
[ 424.0, -34.0, 0.0 ]
[ 374.0, -49.0, 0.0 ]
[ 373.0, -49.0, 0.0 ]
[ 372.0, -49.0, 0.0 ]
[ 371.0, -49.0, 0.0 ]
[ 370.0, -49.0, 0.0 ]
[ 369.0, -49.0, 0.0 ]
[ 368.0, -49.0, 0.0 ]
[ 367.0, -49.0, 0.0 ]
[ 366.0, -49.0, 0.0 ]
[ 365.0, -49.0, 0.0 ]
[ 364.0, -49.0, 0.0 ]
[ 363.0, -49.0, 0.0 ]
[ 362.0, -49.0, 0.0 ]
[ 361.0, -49.0, 0.0 ]
[ 360.0, -49.0, 0.0 ]
[ 359.0, -48.0, 0.0 ]
[ 359.0, -47.0, 0.0 ]
[ 359.0, -46.0, 0.0 ]
[ 359.0, -45.0, 0.0 ]
[ 359.0, -44.0, 0.0 ]
[ 359.0, -43.0, 0.0 ]
[ 359.0, -42.0, 0.0 ]
[ 359.0, -41.0, 0.0 ]
[ 359.0, -40.0, 0.0 ]
[ 359.0, -39.0, 0.0 ]
[ 359.0, -38.0, 0.0 ]
[ 359.0, -37.0, 0.0 ]
[ 359.0, -36.0, 0.0 ]
[ 359.0, -35.0, 0.0 ]
[ 359.0, -34.0, 0.0 ]
[ 359.0, -33.0, 0.0 ]
[ 359.0, -32.0, 0.0 ]
[ 359.0, -31.0, 0.0 ]
[ 359.0, -30.0, 0.0 ]
[ 359.0, -29.0, 0.0 ]
[ 359.0, -28.0, 0.0 ]
[ 359.0, -27.0, 0.0 ]
[ 359.0, -26.0, 0.0 ]
[ 359.0, -25.0, 0.0 ]
[ 359.0, -24.0, 0.0 ]
[ 359.0, -23.0, 0.0 ]
[ 359.0, -22.0, 0.0 ]
[ 359.0, -21.0, 0.0 ]
[ 359.0, -20.0, 0.0 ]
[ 359.0, -19.0, 0.0 ]
[ 359.0, -18.0, 0.0 ]
[ 359.0, -17.0, 0.0 ]
[ 359.0, -16.0, 0.0 ]
[ 359.0, -15.0, 0.0 ]
[ 359.0, -14.0, 0.0 ]
[ 359.0, -13.0, 0.0 ]
[ 359.0, -12.0, 0.0 ]
[ 360.0, -11.0, 0.0 ]
[ 360.0, -10.0, 0.0 ]
[ 361.0, -9.0, 0.0 ]
[ 362.0, -8.0, 0.0 ]
[ 363.0, -7.0, 0.0 ]
[ 364.0, -6.0, 0.0 ]
[ 365.0, -6.0, 0.0 ]
[ 366.0, -5.0, 0.0 ]
[ 367.0, -5.0, 0.0 ]
[ 368.0, -5.0, 0.0 ]
[ 369.0, -5.0, 0.0 ]
[ 370.0, -5.0, 0.0 ]
[ 371.0, -5.0, 0.0 ]
[ 372.0, -5.0, 0.0 ]
[ 373.0, -6.0, 0.0 ]
[ 374.0, -6.0, 0.0 ]
[ 375.0, -6.0, 0.0 ]
[ 375.0, -5.0, 0.0 ]
[ 375.0, -4.0, 0.0 ]
[ 375.0, -3.0, 0.0 ]
[ 375.0, -2.0, 0.0 ]
[ 374.0, -1.0, 0.0 ]
[ 373.0, -1.0, 0.0 ]
[ 372.0, -1.0, 0.0 ]
[ 371.0, -1.0, 0.0 ]
[ 370.0, -1.0, 0.0 ]
[ 369.0, -1.0, 0.0 ]
[ 368.0, -1.0, 0.0 ]
[ 367.0, -1.0, 0.0 ]
[ 366.0, -1.0, 0.0 ]
[ 365.0, -1.0, 0.0 ]
[ 364.0, -1.0, 0.0 ]
[ 363.0, -1.0, 0.0 ]
[ 362.0, -1.0, 0.0 ]
[ 361.0, -1.0, 0.0 ]
[ 360.0, -2.0, 0.0 ]
[ 359.0, -2.0, 0.0 ]
[ 358.0, -3.0, 0.0 ]
[ 357.0, -4.0, 0.0 ]
[ 356.0, -5.0, 0.0 ]
[ 355.0, -6.0, 0.0 ]
[ 354.0, -7.0, 0.0 ]
[ 354.0, -8.0, 0.0 ]
[ 354.0, -9.0, 0.0 ]
[ 353.0, -10.0, 0.0 ]
[ 353.0, -11.0, 0.0 ]
[ 353.0, -12.0, 0.0 ]
[ 353.0, -13.0, 0.0 ]
[ 353.0, -14.0, 0.0 ]
[ 353.0, -15.0, 0.0 ]
[ 353.0, -16.0, 0.0 ]
[ 353.0, -17.0, 0.0 ]
[ 353.0, -18.0, 0.0 ]
[ 353.0, -19.0, 0.0 ]
[ 353.0, -20.0, 0.0 ]
[ 353.0, -21.0, 0.0 ]
[ 353.0, -22.0, 0.0 ]
[ 353.0, -23.0, 0.0 ]
[ 353.0, -24.0, 0.0 ]
[ 353.0, -25.0, 0.0 ]
[ 353.0, -26.0, 0.0 ]
[ 353.0, -27.0, 0.0 ]
[ 353.0, -28.0, 0.0 ]
[ 353.0, -29.0, 0.0 ]
[ 353.0, -30.0, 0.0 ]
[ 353.0, -31.0, 0.0 ]
[ 353.0, -32.0, 0.0 ]
[ 353.0, -33.0, 0.0 ]
[ 353.0, -34.0, 0.0 ]
[ 353.0, -35.0, 0.0 ]
[ 353.0, -36.0, 0.0 ]
[ 353.0, -37.0, 0.0 ]
[ 353.0, -38.0, 0.0 ]
[ 353.0, -39.0, 0.0 ]
[ 353.0, -40.0, 0.0 ]
[ 353.0, -41.0, 0.0 ]
[ 353.0, -42.0, 0.0 ]
[ 353.0, -43.0, 0.0 ]
[ 353.0, -44.0, 0.0 ]
[ 353.0, -45.0, 0.0 ]
[ 353.0, -46.0, 0.0 ]
[ 353.0, -47.0, 0.0 ]
[ 353.0, -48.0, 0.0 ]
[ 352.0, -49.0, 0.0 ]
[ 351.0, -49.0, 0.0 ]
[ 350.0, -49.0, 0.0 ]
[ 349.0, -49.0, 0.0 ]
[ 348.0, -49.0, 0.0 ]
[ 347.0, -49.0, 0.0 ]
[ 346.0, -49.0, 0.0 ]
[ 345.0, -49.0, 0.0 ]
[ 345.0, -50.0, 0.0 ]
[ 345.0, -51.0, 0.0 ]
[ 346.0, -51.0, 0.0 ]
[ 347.0, -52.0, 0.0 ]
[ 348.0, -52.0, 0.0 ]
[ 349.0, -53.0, 0.0 ]
[ 350.0, -53.0, 0.0 ]
[ 351.0, -54.0, 0.0 ]
[ 352.0, -54.0, 0.0 ]
[ 353.0, -55.0, 0.0 ]
[ 353.0, -56.0, 0.0 ]
[ 353.0, -57.0, 0.0 ]
[ 354.0, -58.0, 0.0 ]
[ 354.0, -59.0, 0.0 ]
[ 354.0, -60.0, 0.0 ]
[ 355.0, -61.0, 0.0 ]
[ 355.0, -62.0, 0.0 ]
[ 355.0, -63.0, 0.0 ]
[ 355.0, -64.0, 0.0 ]
[ 356.0, -65.0, 0.0 ]
[ 357.0, -65.0, 0.0 ]
[ 358.0, -65.0, 0.0 ]
[ 359.0, -65.0, 0.0 ]
[ 359.0, -64.0, 0.0 ]
[ 359.0, -63.0, 0.0 ]
[ 359.0, -62.0, 0.0 ]
[ 359.0, -61.0, 0.0 ]
[ 359.0, -60.0, 0.0 ]
[ 359.0, -59.0, 0.0 ]
[ 359.0, -58.0, 0.0 ]
[ 359.0, -57.0, 0.0 ]
[ 359.0, -56.0, 0.0 ]
[ 359.0, -55.0, 0.0 ]
[ 359.0, -54.0, 0.0 ]
[ 360.0, -53.0, 0.0 ]
[ 361.0, -53.0, 0.0 ]
[ 362.0, -53.0, 0.0 ]
[ 363.0, -53.0, 0.0 ]
[ 364.0, -53.0, 0.0 ]
[ 365.0, -53.0, 0.0 ]
[ 366.0, -53.0, 0.0 ]
[ 367.0, -53.0, 0.0 ]
[ 368.0, -53.0, 0.0 ]
[ 369.0, -53.0, 0.0 ]
[ 370.0, -53.0, 0.0 ]
[ 371.0, -53.0, 0.0 ]
[ 372.0, -53.0, 0.0 ]
[ 373.0, -53.0, 0.0 ]
[ 374.0, -53.0, 0.0 ]
[ 374.0, -52.0, 0.0 ]
[ 374.0, -51.0, 0.0 ]
[ 374.0, -50.0, 0.0 ]
[ 333.0, -42.0, 0.0 ]
[ 333.0, -41.0, 0.0 ]
[ 333.0, -40.0, 0.0 ]
[ 333.0, -39.0, 0.0 ]
[ 333.0, -38.0, 0.0 ]
[ 333.0, -37.0, 0.0 ]
[ 333.0, -36.0, 0.0 ]
[ 333.0, -35.0, 0.0 ]
[ 333.0, -34.0, 0.0 ]
[ 333.0, -33.0, 0.0 ]
[ 333.0, -32.0, 0.0 ]
[ 333.0, -31.0, 0.0 ]
[ 333.0, -30.0, 0.0 ]
[ 333.0, -29.0, 0.0 ]
[ 333.0, -28.0, 0.0 ]
[ 333.0, -27.0, 0.0 ]
[ 333.0, -26.0, 0.0 ]
[ 333.0, -25.0, 0.0 ]
[ 333.0, -24.0, 0.0 ]
[ 333.0, -23.0, 0.0 ]
[ 333.0, -22.0, 0.0 ]
[ 333.0, -21.0, 0.0 ]
[ 333.0, -20.0, 0.0 ]
[ 333.0, -19.0, 0.0 ]
[ 333.0, -18.0, 0.0 ]
[ 333.0, -17.0, 0.0 ]
