[ 397.0, -29.0, 0.0 ]
[ 397.0, -30.0, 0.0 ]
[ 398.0, -31.0, 0.0 ]
[ 398.0, -32.0, 0.0 ]
[ 398.0, -33.0, 0.0 ]
[ 399.0, -34.0, 0.0 ]
[ 399.0, -35.0, 0.0 ]
[ 399.0, -36.0, 0.0 ]
[ 399.0, -37.0, 0.0 ]
[ 400.0, -38.0, 0.0 ]
[ 400.0, -39.0, 0.0 ]
[ 400.0, -40.0, 0.0 ]
[ 401.0, -41.0, 0.0 ]
[ 401.0, -42.0, 0.0 ]
[ 401.0, -43.0, 0.0 ]
[ 401.0, -44.0, 0.0 ]
[ 402.0, -45.0, 0.0 ]
[ 402.0, -46.0, 0.0 ]
[ 402.0, -47.0, 0.0 ]
[ 402.0, -48.0, 0.0 ]
[ 403.0, -49.0, 0.0 ]
[ 403.0, -50.0, 0.0 ]
[ 403.0, -51.0, 0.0 ]
[ 322.0, -38.0, 0.0 ]
[ 322.0, -37.0, 0.0 ]
[ 322.0, -36.0, 0.0 ]
[ 322.0, -35.0, 0.0 ]
[ 322.0, -34.0, 0.0 ]
[ 322.0, -33.0, 0.0 ]
[ 322.0, -32.0, 0.0 ]
[ 322.0, -31.0, 0.0 ]
[ 322.0, -30.0, 0.0 ]
[ 322.0, -29.0, 0.0 ]
[ 322.0, -28.0, 0.0 ]
[ 322.0, -27.0, 0.0 ]
[ 321.0, -27.0, 0.0 ]
[ 320.0, -27.0, 0.0 ]
[ 319.0, -27.0, 0.0 ]
[ 318.0, -27.0, 0.0 ]
[ 317.0, -27.0, 0.0 ]
[ 316.0, -27.0, 0.0 ]
[ 315.0, -27.0, 0.0 ]
[ 314.0, -27.0, 0.0 ]
[ 313.0, -27.0, 0.0 ]
[ 312.0, -27.0, 0.0 ]
[ 311.0, -27.0, 0.0 ]
[ 310.0, -27.0, 0.0 ]
[ 309.0, -27.0, 0.0 ]
[ 308.0, -27.0, 0.0 ]
[ 307.0, -27.0, 0.0 ]
[ 306.0, -27.0, 0.0 ]
[ 305.0, -27.0, 0.0 ]
[ 304.0, -27.0, 0.0 ]
[ 303.0, -27.0, 0.0 ]
[ 302.0, -27.0, 0.0 ]
